authors;title;publication_year;approach;approach_detail;downscaling _scale;location_name;control_variable;variable_description;variable_extra_description;response variable;response ecosystem;global_limit_ considered;year;boundary_percapita;territorial_boundary;footprint_percapita;territorial_footprint;overshoot;calculation_resolution;data_reference;social-policy involved;Observations
"Røkås T.; Gómez-Baggethun E.";Defining a safe and just operating space for the Norwegian economy;2025;bottom-up;bottom-up;country;norway;Total N levels in aquatic ecosystems;;Aggregated total of freshwater lakes and coastal waters in worse than “good condition”, divided by the total amount of freshwater lakes and coastal waters in Norway where Total N has been assessed;;;;2021;;100.0 %;;76.7 %;;;Vann-Nett portal (https://vann-nett-klient.miljodirektoratet.no/waterbodies/map);;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Afghanistan;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN;;1.16 kgN/cap;;0,13;;World Development Indicators | DataBank;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Albania;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;27.59 kgN/cap;;3.10;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Algeria;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;2.49 kgN/cap;;0.28;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Angola;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.69 kgN/cap;;0.19;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Argentina;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;9.97 kgN/cap;;1.12;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Armenia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;25.28 kgN/cap;;2.84;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Australia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;49.31 kgN/cap;;5.54;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Austria;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;70.31 kgN/cap;;7.90;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Azerbaijan;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;11.04 kgN/cap;;1.24;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Bahrain;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;15.04 kgN/cap;;1.69;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Bangladesh;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;3.83 kgN/cap;;0.43;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Belarus;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;NA;;;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Belgium;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;47.17 kgN/cap;;5.30;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Benin;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.87 kgN/cap;;0.21;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Bolivia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;3.2 kgN/cap;;0.36;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Bosnia and Herzegovina;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;23.14 kgN/cap;;2.60;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Botswana;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;17.27 kgN/cap;;1.94;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Brazil;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;9.88 kgN/cap;;1.11;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Bulgaria;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;12.46 kgN/cap;;1.40;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Burkina Faso;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;3.65 kgN/cap;;0.41;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Burundi;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.6 kgN/cap;;0.18;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Cambodia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;3.92 kgN/cap;;0.44;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Cameroon;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;0.98 kgN/cap;;0.11;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Canada;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;134.92 kgN/cap;;15.16;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Central African Republic;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.87 kgN/cap;;0.21;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Chad;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.07 kgN/cap;;0.12;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Chile;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;15.49 kgN/cap;;1.74;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;China;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;25.72 kgN/cap;;2.89;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Colombia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;7.12 kgN/cap;;0.80;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Congo;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;3.47 kgN/cap;;0.39;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Costa Rica;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;10.15 kgN/cap;;1.14;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Côte d'Ivoire;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;0.62 kgN/cap;;0.07;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Croatia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;43.16 kgN/cap;;4.85;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Cuba;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;4.9 kgN/cap;;0.55;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Cyprus;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;25.72 kgN/cap;;2.89;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Czech Republic;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;63.1 kgN/cap;;7.09;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Denmark;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;73.25 kgN/cap;;8.23;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Dominican Republic;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;6.94 kgN/cap;;0.78;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Ecuador;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;6.41 kgN/cap;;0.72;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Egypt;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;7.3 kgN/cap;;0.82;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;El Salvador;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;6.05 kgN/cap;;0.68;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Eritrea;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.96 kgN/cap;;0.22;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Estonia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;71.38 kgN/cap;;8.02;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Ethiopia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;NA;;;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Finland;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;96.3 kgN/cap;;10.82;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;France;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;87.4 kgN/cap;;9.82;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Gabon;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;9.52 kgN/cap;;1.07;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Georgia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;29.28 kgN/cap;;3.29;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Germany;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;75.56 kgN/cap;;8.49;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Ghana;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;0.98 kgN/cap;;0.11;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Greece;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;51.53 kgN/cap;;5.79;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Guatemala;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;4.63 kgN/cap;;0.52;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Guinea;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.42 kgN/cap;;0.16;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Guinea-Bissau;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;NA;;;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Haiti;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.96 kgN/cap;;0.22;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Honduras;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;6.76 kgN/cap;;0.76;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Hungary;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;41.03 kgN/cap;;4.61;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;India;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;6.85 kgN/cap;;0.77;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Indonesia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;4.18 kgN/cap;;0.47;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Iran;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;22.07 kgN/cap;;2.48;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Iraq;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;14.24 kgN/cap;;1.60;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Ireland;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;91.31 kgN/cap;;10.26;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Israel;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;45.75 kgN/cap;;5.14;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Italy;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;47.26 kgN/cap;;5.31;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Jamaica;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;9.79 kgN/cap;;1.10;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Japan;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;34.53 kgN/cap;;3.88;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Jordan;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;8.19 kgN/cap;;0.92;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Kazakhstan;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;32.22 kgN/cap;;3.62;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Kenya;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.69 kgN/cap;;0.19;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Korea;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;35.69 kgN/cap;;4.01;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Kuwait;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;69.33 kgN/cap;;7.79;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Kyrgyz Republic;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;34.8 kgN/cap;;3.91;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Lao PDR;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;3.29 kgN/cap;;0.37;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Latvia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;89.8 kgN/cap;;10.09;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Lebanon;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;19.31 kgN/cap;;2.17;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Lesotho;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;25.19 kgN/cap;;2.83;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Liberia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;2.14 kgN/cap;;0.24;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Libya;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;3.11 kgN/cap;;0.35;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Lithuania;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;92.29 kgN/cap;;10.37;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Macedonia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;51.98 kgN/cap;;5.84;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Madagascar;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;0.71 kgN/cap;;0.08;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Malawi;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;0.98 kgN/cap;;0.11;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Malaysia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;16.55 kgN/cap;;1.86;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Mali;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.42 kgN/cap;;0.16;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Mauritania;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;5.61 kgN/cap;;0.63;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Mauritius;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;28.48 kgN/cap;;3.20;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Mexico;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;21.63 kgN/cap;;2.43;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Moldova;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.51 kgN/cap;;0.17;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Mongolia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;9.79 kgN/cap;;1.10;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Morocco;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;4 kgN/cap;;0.45;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Mozambique;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;0.8 kgN/cap;;0.09;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Myanmar;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.33 kgN/cap;;0.15;;;;
